Natural Sea Premium Cod Fish Sticks	8 oz (227g)	Natural Sea supports sustainable fishing practices. Caught in the ice cold North Atlantic waters. Made exclusively with whole cod fillets. Crispy whole wheat breading. We use only premium whole cod fillets from the pure, ice-cold North Atlantic Ocean for a white, firm, flaky, delicately flavored, completely natural fish stick. We bread each stick with our own recipe of organic whole wheat flour, organic cornmeal and a savory blend of spices. Our fish sticks are cooked in pure canola oil prior to being quick frozen. Canola oil is highest in unsaturates of all oil, which makes Natural Sea Cod Fish Sticks an excellent choice for those who are reducing their saturated fat intake.Show Lessbeing quick frozen. Canola oil is highest in unsaturates of all oil, which makes Natural Sea Cod Fish Sticks an excellent choice for those who are reducing their saturated fat intake.	https://www.publix.com/images/products/915000/918386-600x600-A.jpg	Nutrition Facts Serving Size 4 Piece(s) (90g) Servings Per Container 2 1/2 Amount Per Serving Calories from Fat 120 Calories 250 % Daily Value* 20% Total Fat 13g 5% Saturated Fat 1g Trans Fat 0g Polyunsaturated Fat 3.5g Monounsaturated Fat 8g 7% Cholesterol 20mg 17% Sodium 410mg 7% Total Carbohydrates 22g 12% Dietary Fiber 3g Sugars 0g Protein 10g 0% Vitamin A 0% Vitamin C 2% Calcium 8% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Premium Whole Cod Fillets, Organically Grown Whole Wheat Flour, Canola Oil, Organic Unbleached Wheat Flour, Water, Organic Cornmeal, Sea Salt, Arrowroot Starch, Spice, Onion Powder, Yeast, Garlic Powder, Salt, Wheat Bran.	Contains Fish, Wheat.
Seapak Shrimp Scampi	12 oz (340 g)	Great over your favorite pasta! Shrimp in an authentic blend of real butter, garlic & seasonings. The taste of the coast. Great seafood is - closer than you think! Great tasting seafood for every occasion. Bring back those unforgettable memories from the coast with SeaPak's authentic, great tasting shrimp and seafood recipes. Whether it be a simple family dinner, an evening with friends or just a quiet night at home, SeaPak brings you a taste of the coast for any occasion. Enjoy! Create your own great meal memories! Looking for a fresh idea? Visit us at www.seapak.com for delicious seafood recipes, information on our wide variety of seafood products, and the health benefits of adding more seafood to your family's diet. Shrimp is good food. The USDA recommends eating at least 8 oz of seafood a week for a healthier diet. www.seapak.com. These shrimp are farm-raised. www.seapak.com/smartsourcing/. Find all our shrimp & seafood products at www.seapak.com/productlocator/. Try all our coastal favorites! SeaPak's coastal home. You always get the best shrimp and seafood at those small, out-of-the-way places where shrimp and seafood are a way of life - where you can smell the saltwater in the air. For over 60 years now SeaPak's coastal home here on Saint Simons Island has provided the inspiration to perfect our recipes to bring you the very best the coast has to offer. Try us and we think you'll agree - there's a taste of the coast in every delicious bite. Processed in the USA.Show Lessown great meal memories! Looking for a fresh idea? Visit us at www.seapak.com for delicious seafood recipes, information on our wide variety of seafood products, and the health benefits of adding more seafood to your family's diet. Shrimp is good food. The USDA recommends eating at least 8 oz of seafood a week for a healthier diet. www.seapak.com. These shrimp are farm-raised. www.seapak.com/smartsourcing/. Find all our shrimp & seafood products at www.seapak.com/productlocator/. Try all our coastal favorites! SeaPak's coastal home. You always get the best shrimp and seafood at those small, out-of-the-way places where shrimp and seafood are a way of life - where you can smell the saltwater in the air. For over 60 years now SeaPak's coastal home here on Saint Simons Island has provided the inspiration to perfect our recipes to bring you the very best the coast has to offer. Try us and we think you'll agree - there's a taste of the coast in every delicious bite. Processed in the USA.	https://www.publix.com/images/products/100000/102960-600x600-A.jpg			
Mrs Pauls Fish Sticks, Crunchy	44 sticks [24.6 oz (1 lb 8.6 oz) 697 g]		https://www.publix.com/images/products/75000/078443-600x600-A.jpg			
Gortons Fish Fillets, Minced	18 sticks [11.4 oz (323 g)]	Our classic crunchy favorite. Trusted since 1849. Simple, flavorful ingredients. 100% real fish. No fillers. No artificial colors, flavors or preservatives. We value your feedback. If you have any questions or concerns regarding this product, please let us know. Call 1-800-222-6846 (Mon-Fri 8:30 am - 6:00 pm ET) or visit www.gortons.com (Please save this package for reference). Quality you can trust. Made with 100% wild caught Alaska pollock. No artificial colors, flavors or MSG. Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Natural omega-3. - The Gorton's Fisherman. Trusted catch. Sourced responsibly. At Gorton's, we believe in the goodness of great seafood and are dedicated to preserving the health of the worldwide seafood supply for generations to come. For more information visit www.gortons.com/sustainbility. 110 mg of EPA and DHA omega-3 fatty acids per serving. Visit us for more great recipes and special offers at gortons.com or Facebook.com/gortonsseafood. Breading partially produced with GMO ingredients. Gorton's uses only non-GMO seafood.Show Lesssure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Natural omega-3. - The Gorton's Fisherman. Trusted catch. Sourced responsibly. At Gorton's, we believe in the goodness of great seafood and are dedicated to preserving the health of the worldwide seafood supply for generations to come. For more information visit www.gortons.com/sustainbility. 110 mg of EPA and DHA omega-3 fatty acids per serving. Visit us for more great recipes and special offers at gortons.com or Facebook.com/gortonsseafood. Breading partially produced with GMO ingredients. Gorton's uses only non-GMO seafood.	https://www.publix.com/images/products/75000/078320-600x600-A.jpg			
Mrs Pauls Fish Sticks, Crunchy, Xtra Large	30 sticks [23 oz (1 lb 7 oz) 652 g]		https://www.publix.com/images/products/160000/162727-600x600-A.jpg	Nutrition Facts Serving Size 4 sticks (84g) Servings Per Container about 8 Amount Per Serving Calories from Fat 80 Calories 190 % Daily Value* 14% Total Fat 9g 10% Saturated Fat 2g Trans Fat 0g Polyunsaturated Fat 5g Monounsaturated Fat 1.5g 10% Cholesterol 30mg 15% Sodium 370mg 6% Total Carbohydrates 18g 4% Dietary Fiber < 1g Sugars 0g Protein 10g 0% Vitamin A 0% Vitamin C 0% Calcium 2% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Alaska Pollock, Bread Crumbs (Unbleached Wheat Flour, Sugar, Salt And Yeast), Water, Cottonseed Oil And/Or Soybean Oil, Wheat Flour, Wheat Flour (Enriched With Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Salt, Soybean Oil. Contains 2% Or Less Of: Modified Food Starch, Salt, Sugar, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate), Dextrose, Garlic Powder, Onion Powder, Spice, Paprika, Sodium Tripolyphosphate (To Retain Fish Moisture).	Contains: Fish (Pollock), Wheat. Manufactured On Equipment That Also Processes Other White Fish. Do Not Purchase If Carton Is Open Or Torn.
Seapak Clams Strips, Oven Crispy	12 oz (340 g)	Tender, hand shucked clams. Per 3 oz Serving: 200 calories; 1.5 g sat fat (8% DV); 300 mg sodium (13% DV); 0 g sugars. The taste of the coast. Great seafood - closer than you think! Great tasting seafood for every occasion. Bring back those unforgettable memories from the coast with SeaPak's authentic, great tasting shrimp and seafood recipes. Whether it be a simple family dinner, an evening with friends or just a quiet night at home, SeaPak brings you a taste of the coast for any occasion. Enjoy! Create your own great meal memories! www.SeaPak.com. Visit us (at) www.seapak.com for more delicious seafood recipes, information on our wide variety of seafood products, and the health benefits of adding more seafood to your family's diet. Looking for a fresh idea. Seafood is Good Food: The USDA recommends eating at least 8 oz of seafood a week for a healthier diet. Facebook. Pinterest. Instagram. Clams are wild-caught. www.seapak.com/smartsourcing/. Find all our shrimp & seafood products (at) www.seapak.com/productlocator/. Try all our coastal favorites! SeaPak's coastal home. You always get the best shrimp and seafood at those small out-of-the-way places where shrimp and seafood are a way of life - where you can smell the saltwater in the air. For over 60 years now SeaPak's coastal home here on Saint Simons island has provided the inspiration to perfect our recipes to bring you the very best the coast has to offer. Try us and we think you'll agree - there's a taste of the coast in every delicious bite. Produced with genetic engineering. Product of the USA.Show Lessy! Create your own great meal memories! www.SeaPak.com. Visit us (at) www.seapak.com for more delicious seafood recipes, information on our wide variety of seafood products, and the health benefits of adding more seafood to your family's diet. Looking for a fresh idea. Seafood is Good Food: The USDA recommends eating at least 8 oz of seafood a week for a healthier diet. Facebook. Pinterest. Instagram. Clams are wild-caught. www.seapak.com/smartsourcing/. Find all our shrimp & seafood products (at) www.seapak.com/productlocator/. Try all our coastal favorites! SeaPak's coastal home. You always get the best shrimp and seafood at those small out-of-the-way places where shrimp and seafood are a way of life - where you can smell the saltwater in the air. For over 60 years now SeaPak's coastal home here on Saint Simons island has provided the inspiration to perfect our recipes to bring you the very best the coast has to offer. Try us and we think you'll agree - there's a taste of the coast in every delicious bite. Produced with genetic engineering. Product of the USA.	https://www.publix.com/images/products/200000/204348-600x600-A.jpg			
Gortons Fish Fillets, Crispy Battered	6 fillets [11.4 oz (323 g)]	Trusted since 1849. Dipped in our freshly mixed batter for an authentic taste. Gorton's Goodness: 100% real fish. No fillers. No MSG. Natural omega-3. New look! Same taste & size. Taste the Fisherman Guarantee: If you aren't satisfied with the quality of this product, please save this package and call 1-800-222-6846 or contact us at www.gortons.com. A prompt adjustment of equal value will be made. USDA dietary guidelines recommend seafood twice a week. (Typical serving is 4 oz. cooked). No one makes it easier to enjoy great-tasting seafood than Gorton's! Visit Gortons.com for more great recipes and special offers! Quality You Can Trust: Only from the Gorton's fisherman. Made with 100% Alaska pollock. No fillers, artificial colors or flavors. Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury.). Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury.). 175 mg of EPA and DHA omega-3 fatty acids per serving.Show Lessne makes it easier to enjoy great-tasting seafood than Gorton's! Visit Gortons.com for more great recipes and special offers! Quality You Can Trust: Only from the Gorton's fisherman. Made with 100% Alaska pollock. No fillers, artificial colors or flavors. Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury.). Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury.). 175 mg of EPA and DHA omega-3 fatty acids per serving.	https://www.publix.com/images/products/75000/078280-600x600-A.jpg	Nutrition Facts Serving Size 2 Piece(s) (108g) Servings Per Container 3 Amount Per Serving Calories from Fat 130 Calories 240 % Daily Value* 22% Total Fat 14g 15% Saturated Fat 3g Trans Fat 0g 8% Cholesterol 25mg 23% Sodium 550mg 7% Total Carbohydrates 20g 12% Dietary Fiber 3g Sugars 3g Protein 8g 0% Vitamin A 0% Vitamin C 2% Calcium 4% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Alaska Pollock, Water, Vegetable Oil (Cottonseed And/Or Soybean), Rice Flour, Enriched Wheat Flour (Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Tapioca Dextrin, Less Than 2% Of: Yellow Corn Flour, Modified Corn Starch, Sugar, Salt, Onion Powder, Baking Powder (Baking Soda, Sodium Aluminum Phosphate), Dextrose, Corn Syrup Solids, Wheat Flour, Whey, Xanthan Gum, Lecithin (Sunflower, Soy), Yeast, Spice, Natural Flavor, Citric Acid, Paprika Extract (Color), Sodium Tripolyphosphate (To Retain Fish Moisture), Tbhq (To Protect Flavor).	Contains: Pollock, Wheat, Soy, Milk.
Gortons Fish Sticks, Value Pack	44 sticks [24.5 oz (1 lb 8.5 oz) 695 g]	Breaded minced fish. Gorton's Goodness: 100% real fish, no fillers; no MSG; Natural omega-3. Breading partially produced with GMO ingredients. Gorton's uses only non-GMO seafood. 120 mg of EPA and DHA Omega-3 fatty acids per servings. USDA dietary guidelines recommend seafood twice a week (Typical serving is 4 oz. cooked). No one makes it easier to enjoy great-tasting seafood than Gorton's. Visit us for more great recipes and special offers at Gortons.com or facebook.com/gortonsseafood. Made with 100% Alaska Pollock. No artificial flavors, fillers or MSG. Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Trusted catch sourced responsibly. At Gorton's, we believe in the goodness of great seafood and are dedicated to preserving the health of the worldwide seafood supply for generations to come. For more information visit www.gortons.com/sustainability. We value your feedback. If you have any questions or concerns regarding this product, please let us know. Call 1-800-222-6846 (Mon-Fri 8:30 am - 6:00 pm ET) or visit www.gortons.com. (Please save this package for reference).Show Lessh 100% Alaska Pollock. No artificial flavors, fillers or MSG. Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Trusted catch sourced responsibly. At Gorton's, we believe in the goodness of great seafood and are dedicated to preserving the health of the worldwide seafood supply for generations to come. For more information visit www.gortons.com/sustainability. We value your feedback. If you have any questions or concerns regarding this product, please let us know. Call 1-800-222-6846 (Mon-Fri 8:30 am - 6:00 pm ET) or visit www.gortons.com. (Please save this package for reference).	https://www.publix.com/images/products/75000/078326-600x600-A.jpg			
Gortons Fish Sticks	30 sticks [19 oz (1 lb 3 oz) 539 g)]	Breaded minced fish fillets. 100% real fish. Wild caught. Trusted since 1849. Resealable bag. Ready in 8 minutes (Using faster cooking directions for up to 1 serving). Great for crunch! Real fish, real simple, real delicious! Gorton's Fish Sticks, fillets, and tenders are prepared from real, simple ingredients, for a taste you can love and feel better about. 100% wild-caught pollock, a tender and mild, flaky white fish caught from certified fisheries in the icy cold North Pacific. No fillers, artificial colors, flavors or preservatives, and no hydrogenated oils. Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and government quality and safety standards, including those for mercury). Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and government quality and safety standards, including those for mercury). - The Gorton's Fisherman. For great meal ideas and special offers, visit gortons.com or facebook.com/gortonsseafood. 100% wild-caught Alaskan pollock. Breadcrumb coating. Vegetable oil. Real fish, simple ingredients. 110 mg of EPA and DHA omega-3 fatty acids per serving. Questions? Comments? We value your feedback. Call 1-800-222-6846 (Mon - Fri 8:30 am - 6:00 pm ET) or visit www.gortons.com (Please save this package for reference). Trusted Catch - Sourced responsibility. Sustainably Sourced: Gorton's leads the industry in providing safe, high quality, responsibly sourced seafood. For more information visit www.gortons.com/sustainability.Show Lesstificial colors, flavors or preservatives, and no hydrogenated oils. Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and government quality and safety standards, including those for mercury). Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and government quality and safety standards, including those for mercury). - The Gorton's Fisherman. For great meal ideas and special offers, visit gortons.com or facebook.com/gortonsseafood. 100% wild-caught Alaskan pollock. Breadcrumb coating. Vegetable oil. Real fish, simple ingredients. 110 mg of EPA and DHA omega-3 fatty acids per serving. Questions? Comments? We value your feedback. Call 1-800-222-6846 (Mon - Fri 8:30 am - 6:00 pm ET) or visit www.gortons.com (Please save this package for reference). Trusted Catch - Sourced responsibility. Sustainably Sourced: Gorton's leads the industry in providing safe, high quality, responsibly sourced seafood. For more information visit www.gortons.com/sustainability.	https://www.publix.com/images/products/45000/046550-600x600-A.jpg			
Gortons Fish Fillets, Crunchy Breaded	10 fillets [19 oz (1 lb 3 oz) 539 g]	100% real fish fillets. Wild-caught. Trusted since 1849. Resealable bag. Ready in 7 minutes (Using faster cooking directions for up to 1 serving). Great taste! Real fish, real simple, real delicious! Gorton's Fish Sticks, Fillets, and Tenders are prepared from real, simple ingredients, for a taste you can love and feel better about. 100% wild-caught pollock, a tender and mild, flaky white fish caught from certified fisheries in the icy cold North Pacific. No fillers, artificial colors, flavors or preservatives, and no hydrogenated oils. Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). - The Gorton's Fisherman. For great meal ideas and special offers, visit gortons.com or facebook.com/gortonsseafood. 100% wild-caught pollock. Breadcrumb coating. Vegetable oil. Real fish, simple ingredients. 140 mg of EPA and DHA omega-3 fatty acids per serving. Questions? Comments? We value your feed back. Call 1-800-222-6846 (Mon-Fri 8:30 am - 6:00 pm ET) or visit www.gortons.com (please save this package for reference). Trusted catch. Sourced responsibly. Sustainably sourced. Gorton's leads the industry in providing safe, high quality, responsibly sourced seafood. For more information visit www.gortons.com/sustainability.Show Lessr preservatives, and no hydrogenated oils. Tested mercury safe (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). Inspected to ensure the highest quality and safety (Gorton's tests to ensure strict compliance with both Gorton's and Government quality and safety standards, including those for mercury). - The Gorton's Fisherman. For great meal ideas and special offers, visit gortons.com or facebook.com/gortonsseafood. 100% wild-caught pollock. Breadcrumb coating. Vegetable oil. Real fish, simple ingredients. 140 mg of EPA and DHA omega-3 fatty acids per serving. Questions? Comments? We value your feed back. Call 1-800-222-6846 (Mon-Fri 8:30 am - 6:00 pm ET) or visit www.gortons.com (please save this package for reference). Trusted catch. Sourced responsibly. Sustainably sourced. Gorton's leads the industry in providing safe, high quality, responsibly sourced seafood. For more information visit www.gortons.com/sustainability.	https://www.publix.com/images/products/75000/078323-600x600-A.jpg	Nutrition Facts Serving Size 2 fillets (108g) Servings Per Container 5 Amount Per Serving Calories from Fat 80 Calories 230 % Daily Value* 14% Total Fat 9g 10% Saturated Fat 2g Trans Fat 0g Polyunsaturated Fat 5g Monounsaturated Fat 1.5g 7% Cholesterol 20mg 22% Sodium 530mg 4% Potassium 170mg 9% Total Carbohydrates 26g 4% Dietary Fiber 1g Sugars 3g Protein 10g 0% Vitamin A 0% Vitamin C 2% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Pollock Fillets, Breadcrumb Coating, Canola Oil. Pollock Fillets: Pollock, Sodium Tripolyphosphate (To Retain Fish Moisture). Breadcrumb Coating: Wheat Flour, Water, Yellow Corn Flour, Sugar, Salt, Whey, Yeast, Baking Powder (Baking Soda, Sodium Aluminum Phosphate), Onion Powder, Cream Of Tartar, Natural Flavor. Canola Oil.	Contains: Pollock, Wheat, Milk. Although Great Care Is Taken To Remove Bones, Some May Remain.
